t_wall,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,motion_state,rtcore_state_name,queue_depth,current_point_index,trajectory_id
1774136358.309353,0.52,5.69,-3.8,-1.39,2.99,10.45,idle,idle,0,,0
1774136358.340532,0.52,5.69,-3.8,-1.39,2.99,10.45,idle,idle,0,,0
1774136358.3680332,0.52,5.69,-3.8,-1.39,2.99,10.45,idle,idle,0,,0
1774136358.3964555,0.52,5.69,-3.8,-1.39,2.99,10.45,idle,idle,0,,0
1774136358.4249384,0.52,5.69,-3.8,-1.39,2.99,10.45,idle,idle,0,,0
1774136358.4521246,0.52,5.69,-3.8,-1.39,2.99,10.45,idle,idle,0,,0
1774136358.4823227,0.52,5.69,-3.8,-1.39,2.99,10.45,idle,idle,0,,0
1774136358.5127897,0.52,5.69,-3.8,-1.39,2.99,10.45,idle,idle,0,,0
1774136358.5399513,0.52,5.69,-3.8,-1.39,2.99,10.45,idle,idle,0,,0
1774136358.5682714,,,,,,,executing,executing,392,9,1
1774136359.2374873,0.52,5.69,-3.8,-1.39,2.99,10.45,executing,executing,392,9,1
1774136359.2915356,0.52,5.69,-3.8,-1.39,2.99,10.45,executing,executing,382,19,1
1774136359.3422139,0.52,5.69,-3.8,-1.39,2.99,10.45,executing,executing,382,19,1
1774136359.412797,0.52,5.69,-3.8,-1.39,2.99,10.45,executing,executing,372,29,1
1774136359.4623864,0.52,5.69,-3.8,-1.39,2.99,10.45,executing,executing,372,29,1
1774136359.5223496,0.52,5.69,-3.8,-1.39,2.99,10.45,executing,executing,362,39,1
1774136359.5694244,0.52,5.69,-3.8,-1.39,2.99,10.45,executing,executing,362,39,1
1774136359.6164012,0.52,5.69,-3.8,-1.39,2.99,10.45,executing,executing,352,49,1
1774136359.669098,0.52,5.69,-3.8,-1.39,2.99,10.45,executing,executing,352,49,1
1774136359.7079866,0.52,5.69,-3.82,-1.39,2.99,10.45,executing,executing,341,60,1
1774136359.737789,0.52,5.69,-3.82,-1.39,2.99,10.45,executing,executing,341,60,1
1774136359.7711673,0.52,5.69,-3.82,-1.39,2.99,10.45,executing,executing,341,60,1
1774136359.8012216,0.52,5.69,-3.82,-1.39,2.99,10.45,executing,executing,331,70,1
1774136359.833695,0.52,5.7,-3.82,-1.39,2.99,10.45,executing,executing,331,70,1
1774136359.8637428,0.52,5.7,-3.82,-1.39,2.99,10.45,executing,executing,331,70,1
1774136359.8925562,0.52,5.7,-3.82,-1.39,2.99,10.45,executing,executing,331,70,1
1774136359.9231265,0.52,5.7,-3.82,-1.39,2.99,10.45,executing,executing,321,80,1
1774136359.9543998,0.52,5.7,-3.82,-1.39,2.99,10.45,executing,executing,321,80,1
1774136359.9829426,0.52,5.7,-3.82,-1.39,2.99,10.45,executing,executing,321,80,1
1774136360.0111408,0.52,5.71,-3.82,-1.39,2.99,10.45,executing,executing,311,90,1
